Query,vec type,url
The Lord of the Rings: The Two Towers (PS2),BM25plusVector,/videogame/shadow-hearts.html
Crime Game,BM25plusVector,/videogame/true-crime-streets-of-la.html
Crime Game,BM25plusVector,/videogame/dead-to-rights.html
Crime Game,BM25plusVector,/videogame/the-getaway-part-2.html
Crime Game,BM25plusVector,/videogame/sly-2-band-of-thieves.html
Crime Game,BM25plusVector,/videogame/50-cent-bulletproof.html
Crime Game,BM25plusVector,/videogame/starsky-hutch.html
Crime Game,BM25plusVector,/videogame/evil-dead-regeneration.html
Crime Game,BM25plusVector,/videogame/lupin-the-3rd-treasure-of-the-sorcerer-king.html
Crime Game,BM25plusVector,/videogame/dynasty-warriors-4.html
Crime Game,BM25plusVector,/videogame/fifa-soccer-2004.html
Swords and fighting,BM25plusVector,/videogame/soul-calibur-iii.html
Swords and fighting,BM25plusVector,/videogame/dragon-ball-z-2005.html
Swords and fighting,BM25plusVector,/videogame/virtua-fighter-4-evolution.html
Swords and fighting,BM25plusVector,/videogame/inuyasha-feudal-combat.html
Swords and fighting,BM25plusVector,/videogame/shaman-king-master-spirits.html
Swords and fighting,BM25plusVector,/videogame/from-tv-animation-one-piece-grand-battle-rush.html
Swords and fighting,BM25plusVector,/videogame/dragon-ball-z-budokai-tenkaichi-3-.html
Swords and fighting,BM25plusVector,/videogame/mortal-kombat-armageddon.html
Swords and fighting,BM25plusVector,/videogame/seiken-densetsu-project.html
Swords and fighting,BM25plusVector,/videogame/dragon-ball-z-tenkaichi-neo.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/final-fantasy-x.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/eragon.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/curious-george.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/gauntlet-seven-sorrows.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/everblue-2.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/grand-theft-auto-vice-city.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/george-of-the-jungle.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/final-fantasy-xii.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/final-fantasy-vii-2006.html
Fun adventure with fantasy characters,BM25plusVector,/videogame/hot-shots-tennis.html
Super hero game marvel or DC,BM25plusVector,/videogame/untitled-marvel-comics-rpg.html
Super hero game marvel or DC,BM25plusVector,/videogame/iron-man-2008.html
Super hero game marvel or DC,BM25plusVector,/videogame/x-men-legends.html
Super hero game marvel or DC,BM25plusVector,/videogame/spider-man-trilogy.html
Super hero game marvel or DC,BM25plusVector,/videogame/justice-league-of-america.html
Super hero game marvel or DC,BM25plusVector,/videogame/ghost-rider.html
Super hero game marvel or DC,BM25plusVector,/videogame/guitar-hero-2.html
Super hero game marvel or DC,BM25plusVector,/videogame/naruto-narutimett-hero.html
Super hero game marvel or DC,BM25plusVector,/videogame/guitar-hero.html
Super hero game marvel or DC,BM25plusVector,/videogame/snk-arcade-classics-volume-1.html
Final fantasy,BM25plusVector,/videogame/final-fantasy-x.html
Final fantasy,BM25plusVector,/videogame/final-fantasy-xii.html
Final fantasy,BM25plusVector,/videogame/final-fantasy-vii-2006.html
Final fantasy,BM25plusVector,/videogame/final-fight-streetwise.html
Final fantasy,BM25plusVector,/videogame/r-type-final.html
Final fantasy,BM25plusVector,/videogame/kingdom-hearts.html
Final fantasy,BM25plusVector,/videogame/uefa-euro-2004.html
Final fantasy,BM25plusVector,/videogame/eragon.html
Final fantasy,BM25plusVector,/videogame/moto-gp-3.html
Final fantasy,BM25plusVector,/videogame/gauntlet-seven-sorrows.html
Action-Adventure Games,BM25plusFieldVector,/videogame/grand-theft-auto-san-andreas.html
Action-Adventure Games,BM25plusFieldVector,/videogame/one-piece-grand-adventure.html
Action-Adventure Games,BM25plusFieldVector,/videogame/family-guy.html
Action-Adventure Games,BM25plusFieldVector,/videogame/true-crime-streets-of-la.html
Action-Adventure Games,BM25plusFieldVector,/videogame/grand-theft-auto-san-andreas-special-edition.html
Action-Adventure Games,BM25plusFieldVector,/videogame/prince-of-persia-the-sands-of-time.html
Action-Adventure Games,BM25plusFieldVector,/videogame/spider-man-3.html
Action-Adventure Games,BM25plusFieldVector,/videogame/the-getaway-part-2.html
Action-Adventure Games,BM25plusFieldVector,/videogame/resident-evil-4.html
Action-Adventure Games,BM25plusFieldVector,/videogame/obscure-ii.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/wild-arms-another-code-f.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/final-fantasy-x.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/dragon-warrior-viii.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/kingdom-hearts-ii.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/namco-x-capcom.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/radiata-stories.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/shadow-hearts.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/tales-of-the-abyss.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/disgaea-2.html
RPG Games for PlayStation,BM25plusFieldVector,/videogame/level-5-new-rpg-untitled.html
The Guy Game,BM25plusFieldVector,/videogame/family-guy.html
The Guy Game,BM25plusFieldVector,/videogame/the-guy-game.html
The Guy Game,BM25plusFieldVector,/videogame/final-fight-streetwise.html
